"James Cook University"	"Cairn"	"Queensland"	"AU"
"Central Queensland University"	"Emerald"	"Queensland"	"AU"
"Central Queensland University"	"Gladstone"	"Queensland"	"AU"
"Bond University"	"Gold Coast"	"Queensland"	"AU"
"University of Southern Queensland"	"Hervey Bay"	"Queensland"	"AU"
"Central Queensland University"	"Mackay"	"Queensland"	"AU"
"Central Queensland University"	"Rockhampton"	"Queensland"	"AU"
"University of the Sunshine Coast"	"Sunshine Coast"	"Queensland"	"AU"
"University of Southern Queensland"	"Toowoomba"	"Queensland"	"AU"
"James Cook University"	"Townsville"	"Queensland"	"AU"
"Australian Catholic University"	"Adelaide"	"South Australia"	"AU"
"Flinders University"	"Adelaide"	"South Australia"	"AU"
"University of Adelaide"	"Adelaide"	"South Australia"	"AU"
"University of South Australia"	"Adelaide"	"South Australia"	"AU"
"University of Tasmania"	"Hobart"	"Tasmania"	"AU"
"Australian Catholic University"	"Melbourne"	"Victoria"	"AU"
"Central Queensland University"	"Melbourne"	"Victoria"	"AU"
"Deakin University"	"Melbourne"	"Victoria"	"AU"
"Federation University Australia"	"Melbourne"	"Victoria"	"AU"
"La Trobe University"	"Melbourne"	"Victoria"	"AU"
"Monash University"	"Melbourne"	"Victoria"	"AU"
"Royal Melbourne Institute of Technology"	"Melbourne"	"Victoria"	"AU"
"Swinburne University of Technology"	"Melbourne"	"Victoria"	"AU"
"University of Melbourne"	"Melbourne"	"Victoria"	"AU"
"Victoria University"	"Melbourne"	"Victoria"	"AU"
"Curtin University"	"Perth"	"Western Australia"	"AU"
"Edith Cowan University"	"Perth"	"Western Australia"	"AU"
"Murdoch University"	"Perth"	"Western Australia"	"AU"
"University of Notre Dame Australia"	"Perth"	"Western Australia"	"AU"
"University of Western Australia"	"Perth"	"Western Australia"	"AU"
"Instituto de Educação, Ciência e Tecnologia do Vale do Juruá"	"Cruzeiro do Sul"	"Acre"	"BR"
"Faculdade da Amazônia Ocidental"	"Rio Branco"	"Acre"	"BR"
"Faculdade de Educação Superior Acriano Euclides da Cunha"	"Rio Branco"	"Acre"	"BR"
"Faculdade de Teologia e Filosofia"	"Rio Branco"	"Acre"	"BR"
"Faculdade Diocesana São José"	"Rio Branco"	"Acre"	"BR"
"Faculdade Meta"	"Rio Branco"	"Acre"	"BR"
"Faculdade São Lucas"	"Rio Branco"	"Acre"	"BR"
"Instituto de Ensino Superior do Acre"	"Rio Branco"	"Acre"	"BR"
"Instituto Federal do Acre"	"Rio Branco"	"Acre"	"BR"
"União Educacional do Norte"	"Rio Branco"	"Acre"	"BR"
"Universidade Federal do Acre"	"Rio Branco"	"Acre"	"BR"
"‪‪‪Secretaria de Estado de Articulação Institucional do Acre"		"Acre"	"BR"
"‪‪‪Secretaria de Estado de Ciência e Tecnologia do Acre"		"Acre"	"BR"
"‪‪‪Secretaria de Estado de Comunicação do Acre"		"Acre"	"BR"
"‪‪‪Secretaria de Estado de Desenvolvimento Florestal, da Indústria, do Comércio e dos Serviços Sustentáveis do Acre"		"Acre"	"BR"
"‪‪‪Secretaria de Estado de Desenvolvimento Social do Acre"		"Acre"	"BR"
"‪‪‪Secretaria de Estado de Educação e Esporte do Acre"		"Acre"	"BR"
"‪‪‪Secretaria de Estado de Extensão Agroflorestal e Produção Familiar do Acre"		"Acre"	"BR"
