Ğ|&#286;|&Gcaron;|Gcaron - latin capital letter G with caron (breve)|Gcaron
ğ|&#287;|&gcaron;|gcaron - latin small letter e with caron (breve)|gcaron
Ģ|&#290;|&Gcedil;|Gcedil - latin capital letter G with cedilla|Gcedil
Ĥ|&#292;|&gapos;|gapos - latin small letter g with cedilla above|gapos
Ī|&#298;|&Imacr;|Imacr - latin capital letter I with macron|Imacr
ī|&#299;|&imacr;|imacr - latin small letter i with macron|imacr
İ|&#304;|&Icedil;|Icedil - latin capital letter I with cedilla|Icedil
Ķ|&#310;|&Kcedil;|Kcedil - latin capital letter K with cedilla|Kcedil
ķ|&#311;|&kcedil;|kcedil - latin small letter k with cedilla|kcedil
Ĺ|&#313;|&Lacute;|Lacute - latin capital letter L with acute|Lacute
ĺ|&#314;|&lacute;|lacute - latin small letter l with acute|lacute
Ļ|&#315;|&Lcedil;|Lcedil - latin capital letter L with cedilla|Lcedil
ļ|&#316;|&lcedil;|lcedil - latin small letter l with cedilla|lcedil
Ł|&#321;|&Lstrok;|Lstrok - latin capital letter L with stroke|Lstrok
ł|&#322;|&lstrok;|lstrok - latin small letter l with stroke|lstrok
Ń|&#323;|&Nacute;|Nacute - latin capital letter N with acute|Nacute
ń|&#324;|&nacute;|nacute - latin small letter n with acute|nacute
Ņ|&#325;|&Ncedil;|Ncedil - latin capital letter N with cedilla|Ncedil
ņ|&#326;|&ncedil;|ncedil - latin small letter n with cedilla|ncedil
Ň|&#327;|&Ncaron;|Ncaron - latin capital letter N with caron|Ncaron
ň|&#328;|&ncaron;|ncaron - latin small letter n with caron|ncaron
Ō|&#332;|&Omacr;|Omacr - latin capital letter O with macron|Omacr
ō|&#333;|&omacr;|omacr - latin small letter o with macron|omacr
Ő|&#336;|&Odblac;|Odblac - latin capital letter O with double acute|Odblac
ő|&#337;|&odblac;|odblac - latin small letter o with double acute|odblac
Ŗ|&#342;|&Rcedil;|Rcedil - latin capital letter R with cedilla|Rcedil
ŗ|&#343;|&rcedil;|rcedil - latin small letter r with cedilla|rcedil
Ř|&#344;|&Rcaron;|Rcaron - latin capital letter R with caron|Rcaron
ř|&#345;|&rcaron;|rcaron - latin small letter r with caron|rcaron
Ś|&#346;|&Sacute;|Sacute - latin capital letter S with acute|Sacute
ś|&#347;|&sacute;|sacute - latin small letter s with acute|sacute
Ş|&#350;|&Scedil;|Scedil - latin capital letter S with cedilla|Scedil
ş|&#351;|&scedil;|scedil - latin small letter s with cedilla|scedil
Š|&#352;|&Scaron;|Scaron - latin capital letter S with caron|Scaron
š|&#353;|&scaron;|scaron - latin small letter s with caron|scaron
Ţ|&#354;|&Tcedil;|Tcedil - latin capital letter T with cedilla|Tcedil
ţ|&#355;|&tcedil;|tcedil - latin small letter t with cedilla|tcedil
Ť|&#356;|&Tcaron;|Tcaron - latin capital letter T with caron|Tcaron
ť|&#357;|&tcaron;|tcaron - latin small letter t with caron|tcaron
Ū|&#362;|&Umacr;|Umacr - latin capital letter U with macron|Umacr
ū|&#363;|&umacr;|umacr - latin small letter u with macron|umacr
Ů|&#366;|&Uring;|Uring - latin capital letter U with ring above|Uring
ů|&#367;|&uring;|uring - latin small letter u with ring above|uring
Ű|&#368;|&Udblac;|Udblac - latin capital letter U with double acute|Udblac
ű|&#369;|&udblac;|udblac - latin small letter u with double acute|udblac
Ų|&#370;|&Ucedil;|Ucedil - latin capital letter U with cedilla|Ucedil
ų|&#371;|&ucedil;|ucedil - latin small letter u with cedilla|ucedil
Ź|&#377;|&Zacute;|Zacute - latin capital letter Z with acute|Zacute
ź|&#378;|&zacute;|zacute - latin small letter z with acute|zacute
Ż|&#379;|&Zdot;|Zdot - latin capital letter Z with dot above|Zdot
ż|&#380;|&zdot;|zdot - latin small letter z with dot above|zdot
Ž|&#381;|&Zcaron;|Zcaron - latin capital letter Z with caron|Zcaron
ž|&#382;|&zcaron;|zcaron - latin small letter z with caron|zcaron
%|&#37;|&percnt;|percent sign|%
~|&#127;|&tilde;|tilde|~
~|&#127;|&sim;|similar to|~
~|&#8764;|&sim;|similar to|~
∀|&#8704;|&forall;|for all|∀
∂|&#8706;|&part;|part|∂
∃|&#8707;|&exist;|exists|∃
∅|&#8709;|&empty;|empty|∅
∇|&#8711;|&nabla;|nabla|∇
∈|&#8712;|&isin;|isin|∈
∉|&#8713;|&notin;|notin|∉
∋|&#8715;|&ni;|ni|∋
∏|&#8719;|&prod;|prod|∏
∑|&#8721;|&sum;|sum|∑
−|&#8722;|&minus;|minus|−
∗|&#8727;|&lowast;|lowast|∗
√|&#8730;|&radic;|square root|√
∝|&#8733;|&prop;|proportional to|∝
∞|&#8734;|&infin;|infinity|∞
∠|&#8736;|&ang;|angle|∠
∧|&#8743;|&and;|and|∧
∨|&#8744;|&or;|or|∨
