Symbol	ISSN in use	Print ISSN	E-ISSN	Collection Name	Acronym	Short Title	Title	Short Title-NLM	Publisher	URL journal page	License
scl	0103-3131	0103-3131		Brazil	rbfv	Rev. Bras. Fisiol. Veg.	Revista Brasileira de Fisiologia Vegetal		Sociedade Brasileira de Fisiologia Vegetal	http://www.scielo.br/scielo.php?script=sci_serial&pid=0103-3131&lng=en	by-nc/4.0
scl	0100-2945	0100-2945	1806-9967	Brazil	rbf	Rev. Bras. Frutic.	Revista Brasileira de Fruticultura		Sociedade Brasileira de Fruticultura	http://www.scielo.br/scielo.php?script=sci_serial&pid=0100-2945&lng=en	by/4.0
scl	0102-261X	0102-261X		Brazil	rbg	Rev. Bras. Geof.	Revista Brasileira de Geofísica		Sociedade Brasileira de Geofísica	http://www.scielo.br/scielo.php?script=sci_serial&pid=0102-261X&lng=en	by-nc/4.0
scl	1809-9823	1809-9823	1981-2256	Brazil	rbgg	Rev. bras. geriatr. gerontol.	Revista Brasileira de Geriatria e Gerontologia		Universidade do Estado do Rio Janeiro	http://www.scielo.br/scielo.php?script=sci_serial&pid=1809-9823&lng=en	by/4.0
scl	0100-7203	0100-7203	1806-9339	Brazil	rbgo	Rev. Bras. Ginecol. Obstet.	Revista Brasileira de Ginecologia e Obstetrícia		Federação Brasileira das Sociedades de Ginecologia e Obstetrícia	http://www.scielo.br/scielo.php?script=sci_serial&pid=0100-7203&lng=en	by/4.0
scl	1516-8484	1516-8484	1806-0870	Brazil	rbhh	Rev. Bras. Hematol. Hemoter.	Revista Brasileira de Hematologia e Hemoterapia	Rev Bras Hematol Hemoter	Associação Brasileira de Hematologia e Hemoterapia e Terapia Celular	http://www.scielo.br/scielo.php?script=sci_serial&pid=1516-8484&lng=en	by-nc-nd/4.0
scl	0102-0188	0102-0188	1806-9347	Brazil	rbh	Rev. Bras. Hist.	Revista Brasileira de História		Associação Nacional de História - ANPUH	http://www.scielo.br/scielo.php?script=sci_serial&pid=0102-0188&lng=en	by/4.0
scl	1984-6398	1676-0786	1984-6398	Brazil	rbla	Rev. bras. linguist. apl.	Revista Brasileira de Linguística Aplicada		Faculdade de Letras - Universidade Federal de Minas Gerais	http://www.scielo.br/scielo.php?script=sci_serial&pid=1984-6398&lng=en	by/4.0
scl	1517-8692	1517-8692	1806-9940	Brazil	rbme	Rev Bras Med Esporte	Revista Brasileira de Medicina do Esporte		Sociedade Brasileira de Medicina do Exercício e do Esporte	http://www.scielo.br/scielo.php?script=sci_serial&pid=1517-8692&lng=en	by/4.0
scl	0102-7786	0102-7786	1982-4351	Brazil	rbmet	Rev. bras. meteorol.	Revista Brasileira de Meteorologia		Sociedade Brasileira de Meteorologia	http://www.scielo.br/scielo.php?script=sci_serial&pid=0102-7786&lng=en	by/4.0
